K%,PA,AVG,BB%,ISO,OBP,OPS,SLG,team,wOBA,wRC+,BABIP,OCon%,ZCon%,xwOBA,Chase%,SwStr%,Barrel%,HardHit%,player_name,Launch Angle
0.18,101,0.19,0.07,0.05,0.28,0.52,0.24,TBR,0.24,48,0.24,,,0.26,,,,,Cedric Mullins,
0.29,101,0.25,0.07,0.25,0.32,0.82,0.5,LAD,0.36,125,0.3,,,0.35,,,,,Max Muncy,
0.15,101,0.22,0.03,0.08,0.27,0.57,0.3,COL,0.26,59,0.25,,,0.31,,,,,Tyler Freeman,
0.28,100,0.23,0.1,0.14,0.31,0.68,0.37,NYM,0.3,91,0.31,,,0.32,,,,,A.J. Ewing,
0.18,100,0.25,0.15,0.2,0.37,0.83,0.46,MIL,0.36,132,0.27,,,0.35,,,,,Gary Sánchez,
0.16,100,0.2,0.09,0.05,0.28,0.52,0.24,MIA,0.25,52,0.22,,,0.32,,,,,Liam Hicks,
0.13,98,0.31,0.2,0.17,0.45,0.92,0.47,MIN,0.41,160,0.35,,,0.36,,,,,Ryan Jeffers,
0.12,97,0.21,0.11,0.19,0.3,0.69,0.4,NYM,0.31,94,0.2,,,0.34,,,,,Francisco Lindor,
0.29,96,0.28,0.12,0.13,0.39,0.79,0.4,MIL,0.36,126,0.41,,,0.35,,,,,Garrett Mitchell,
0.32,95,0.21,0.09,0.13,0.28,0.62,0.34,LAA,0.28,73,0.28,,,0.29,,,,,Jorge Soler,
0.35,95,0.2,0.14,0.09,0.32,0.6,0.28,NYM,0.28,73,0.3,,,0.33,,,,,Francisco Alvarez,
0.17,94,0.22,0.02,0.02,0.23,0.48,0.24,CHW,0.21,29,0.26,,,0.26,,,,,Luisangel Acuña,
0.16,94,0.18,0.11,0.08,0.28,0.54,0.26,MIN,0.25,56,0.21,,,0.29,,,,,Ryan Kreidler,
0.22,93,0.22,0.04,0.04,0.33,0.59,0.26,CHW,0.28,74,0.3,,,0.34,,,,,Sam Antonacci,
0.1,93,0.26,0.12,0.09,0.35,0.7,0.35,CLE,0.32,99,0.28,,,0.29,,,,,Austin Hedges,
